building_id,residual_mean,pred_mean,target_mean,is_anomaly,combined_score
164,731.27686,1575.7094,861.02094,True,15.150674
164,630.43,355.9363,518.1604,True,12.952686
38,532.8184,690.7613,1081.1318,True,10.825213
38,488.66605,930.3536,1228.3094,True,9.8629
38,481.71875,831.44586,1137.1455,True,9.711481
38,480.6582,473.28207,908.1607,True,9.688366
38,446.5708,725.0398,1038.3451,True,8.945421
38,421.09036,953.34393,1180.3168,True,8.390067
38,411.2422,934.16486,696.7801,True,8.175424
38,392.4244,940.07495,603.2122,True,7.765284
38,390.7151,962.3183,1160.6359,True,7.7280293
38,390.33115,920.1824,1155.9586,True,7.7196608
38,388.1289,936.11646,859.7412,True,7.6716623
38,387.45728,1010.1368,1163.7788,True,7.657024
38,368.7565,970.2071,1136.6759,True,7.249435
38,363.85532,910.3711,1162.472,True,7.1426125
38,363.36597,930.0703,1180.9004,True,7.1319466
38,356.18222,968.655,1087.5594,True,6.9753747
58,351.36685,1518.659,1167.2921,True,6.8704224
38,339.68338,911.01294,612.3704,True,6.6157775
38,328.22888,963.3545,1133.9744,True,6.3661237
168,322.84216,713.28534,402.70834,True,6.2487183
0,316.24173,1380.7943,1490.985,True,6.10486
58,311.01022,1498.5507,1187.5403,True,5.9908376
197,310.96414,444.7167,699.7917,True,5.9898334
38,307.17773,273.3113,580.4891,True,5.9073076
13,306.23105,486.7108,713.6767,True,5.886674
38,304.28503,756.8381,798.5955,True,5.84426
58,296.15756,1561.3966,1265.2391,True,5.6671195
69,296.06644,398.8224,644.6213,True,5.6651335
37,294.6706,456.80112,200.44518,True,5.634711
58,290.63614,1586.1351,1295.4989,True,5.5467787
58,285.45132,1468.555,1183.1038,True,5.433774
58,284.97107,1659.0773,1374.1061,True,5.4233065
137,282.20572,607.1644,355.02853,True,5.3630347
58,265.79733,1673.3497,1407.5524,True,5.0054092
180,264.50903,573.27515,332.58154,True,4.97733
191,264.22745,169.70155,433.929,True,4.9711933
38,259.76047,280.9837,540.7442,True,4.873834
58,258.6531,1465.1823,1208.5869,True,4.8496985
38,256.52585,1017.0402,1016.73065,True,4.8033347
0,252.58875,1339.6796,1581.083,True,4.717524
0,243.35297,1323.6683,1567.0214,True,4.5162277
69,240.68034,425.04993,570.5066,True,4.457977
137,239.08363,110.7268,196.14488,True,4.4231763
168,237.76875,102.91947,197.95833,True,4.394518
13,235.34132,500.06564,644.5457,True,4.3416114
58,235.03278,1591.7344,1356.7015,True,4.3348866
197,234.25972,441.96494,626.4583,True,4.3180375
149,233.08057,480.71713,291.08334,True,4.2923374
153,232.08946,373.75208,193.87398,True,4.270736
69,231.0359,436.6825,564.9323,True,4.2477736
38,229.60905,253.94214,483.55115,True,4.216675
56,226.27629,137.37547,358.162,True,4.1440363
