rank,building_id,primary_use,square_feet,anomaly_score,residual_error,avg_consumption_kwh,potential_savings_kwh,priority
1,164,Warehouse/storage,12908,15.150673866271973,731.27685546875,861.0209350585938,172.20418701171877,HIGH
2,164,Warehouse/storage,12908,12.952686309814453,630.4299926757812,518.160400390625,103.632080078125,HIGH
3,38,Office,12769,10.825213432312012,532.8184204101562,1081.1318359375,216.22636718750002,HIGH
4,38,Office,12769,9.862899780273438,488.6660461425781,1228.3094482421875,245.66188964843752,HIGH
5,38,Office,12769,9.711481094360352,481.71875,1137.1455078125,227.42910156250002,HIGH
6,38,Office,12769,9.688365936279297,480.658203125,908.1607055664062,181.63214111328125,HIGH
7,38,Office,12769,8.94542121887207,446.57080078125,1038.3450927734375,207.6690185546875,HIGH
8,38,Office,12769,8.390067100524902,421.0903625488281,1180.3167724609375,236.0633544921875,HIGH
9,38,Office,12769,8.175423622131348,411.2421875,696.7800903320312,139.35601806640625,HIGH
10,38,Office,12769,7.765284061431885,392.4244079589844,603.2122192382812,120.64244384765625,HIGH
11,38,Office,12769,7.728029251098633,390.715087890625,1160.6358642578125,232.1271728515625,HIGH
12,38,Office,12769,7.719660758972168,390.3311462402344,1155.9586181640625,231.1917236328125,HIGH
13,38,Office,12769,7.671662330627441,388.12890625,859.7412109375,171.9482421875,HIGH
14,38,Office,12769,7.657023906707764,387.457275390625,1163.77880859375,232.75576171875002,HIGH
15,38,Office,12769,7.249434947967529,368.7565002441406,1136.6759033203125,227.3351806640625,HIGH
16,38,Office,12769,7.142612457275391,363.8553161621094,1162.4720458984375,232.49440917968752,HIGH
17,38,Office,12769,7.131946563720703,363.365966796875,1180.900390625,236.18007812500002,HIGH
18,38,Office,12769,6.975374698638916,356.1822204589844,1087.5594482421875,217.51188964843752,HIGH
19,58,Lodging/residential,83379,6.87042236328125,351.3668518066406,1167.2921142578125,233.45842285156252,HIGH
20,38,Office,12769,6.615777492523193,339.6833801269531,612.3704223632812,122.47408447265626,HIGH
